mmsi,base_date_time,longitude,latitude,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,status,length,width,draft,cargo,transceiver,mpa_name,mpa_type
211503810,2025-02-10 17:57:03,-120.85641,35.3682,0.2,,,RANTJE,,DD5612,36.0,,13.0,4.0,,,B,Morro Bay SMRMA,SMRMA
338400762,2025-02-10 17:55:50,-117.89404,33.61987,0.0,351.7,,WILD HARE,,XXXXXXX,37.0,,12.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
368320160,2025-02-10 17:55:42,-120.85715,35.37005,0.0,288.4,,SOUVENIR,,WDD7936,37.0,5.0,27.0,7.0,2.0,37.0,A,Morro Bay SMRMA,SMRMA
338400762,2025-02-10 17:58:53,-117.89405,33.61987,0.0,351.7,,WILD HARE,,XXXXXXX,37.0,,12.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
368399640,2025-02-10 17:56:33,-120.45428,34.43533,6.3,89.8,,OPEN RANGE,,WDP9480,36.0,,15.0,5.0,,,B,Point Conception SMR,SMR
338142675,2025-02-10 17:58:06,-117.89562,33.62234,0.0,190.2,,NUEVO,,,37.0,,20.0,6.0,,,B,Upper Newport Bay SMCA,SMCA
368399640,2025-02-10 17:59:05,-120.44932,34.43632,6.3,75.1,,OPEN RANGE,,WDP9480,36.0,,15.0,5.0,,,B,Point Conception SMR,SMR
338174439,2025-02-10 17:56:54,-117.89512,33.61944,0.0,348.5,,ANN-ELYSE,,,37.0,,10.0,7.0,,,B,Upper Newport Bay SMCA,SMCA
368320160,2025-02-10 17:58:42,-120.85714,35.37004,0.0,297.2,,SOUVENIR,,WDD7936,37.0,5.0,27.0,7.0,2.0,37.0,A,Morro Bay SMRMA,SMRMA
211503810,2025-02-10 17:54:04,-120.85643,35.36818,0.1,,,RANTJE,,DD5612,36.0,,13.0,4.0,,,B,Morro Bay SMRMA,SMRMA
338174439,2025-02-10 17:59:56,-117.89514,33.61941,0.0,348.5,,ANN-ELYSE,,,37.0,,10.0,7.0,,,B,Upper Newport Bay SMCA,SMCA
338142675,2025-02-10 18:01:06,-117.89562,33.62234,0.1,79.1,,NUEVO,,,37.0,,20.0,6.0,,,B,Upper Newport Bay SMCA,SMCA
338392591,2025-02-10 18:00:25,-117.89708,33.62132,0.0,38.9,,SAY ANYTHING,,,37.0,,10.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
