mmsi,base_date_time,longitude,latitude,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,status,length,width,draft,cargo,transceiver,mpa_name,mpa_type
367107830,2025-02-10 17:16:47,-120.85635,35.36988,0.0,,,PAPAGALLO II,,WDC9874,60.0,,24.0,6.0,,,B,Morro Bay SMRMA,SMRMA
368167990,2025-02-10 17:16:38,-117.89483,33.62188,0.0,155.9,,IT'S ALL GOOD,,WDL8279,37.0,,14.0,5.0,,,B,Upper Newport Bay SMCA,SMCA
338142675,2025-02-10 17:16:06,-117.89561,33.62232,0.0,358.9,,NUEVO,,,37.0,,20.0,6.0,,,B,Upper Newport Bay SMCA,SMCA
367027990,2025-02-10 17:16:17,-120.85416,35.3665,0.0,0.0,,ANGLER,,WDC4643,60.0,,12.0,4.0,,,B,Morro Bay SMRMA,SMRMA
368173330,2025-02-10 17:17:35,-118.50505,33.43162,0.1,109.8,,CATBIRD,,WDL8831,36.0,,11.0,2.0,,,B,Cat Harbor SMCA,SMCA
338468255,2025-02-10 17:17:49,-119.54742,34.07552,9.0,242.6,,CIELO,,,37.0,,13.0,4.0,,,B,Scorpion SMR,SMR
338143454,2025-02-10 17:17:09,-120.85697,35.36988,0.0,,,SWELL DISH,,,36.0,,12.0,3.0,,,B,Morro Bay SMRMA,SMRMA
368320160,2025-02-10 17:16:41,-120.85717,35.37008,0.0,309.4,,SOUVENIR,,WDD7936,37.0,5.0,27.0,7.0,2.0,37.0,A,Morro Bay SMRMA,SMRMA
211503810,2025-02-10 17:18:03,-120.85639,35.36809,0.1,,,RANTJE,,DD5612,36.0,,13.0,4.0,,,B,Morro Bay SMRMA,SMRMA
367463540,2025-02-10 22:45:28,-122.55928,37.50282,6.6,296.8,,AQUA LEO,,WDA2235,30.0,,18.0,6.0,,,B,Montara SMR,SMR
367027990,2025-02-10 17:19:17,-120.85416,35.3665,0.1,0.0,,ANGLER,,WDC4643,60.0,,12.0,4.0,,,B,Morro Bay SMRMA,SMRMA
368167990,2025-02-10 17:19:37,-117.89483,33.62188,0.0,155.9,,IT'S ALL GOOD,,WDL8279,37.0,,14.0,5.0,,,B,Upper Newport Bay SMCA,SMCA
338143454,2025-02-10 17:13:52,-120.857,35.36983,0.0,,,SWELL DISH,,,36.0,,12.0,3.0,,,B,Morro Bay SMRMA,SMRMA
367107830,2025-02-10 17:13:48,-120.85635,35.36989,0.0,,,PAPAGALLO II,,WDC9874,60.0,,24.0,6.0,,,B,Morro Bay SMRMA,SMRMA
368320160,2025-02-10 17:19:41,-120.85716,35.37008,0.0,323.2,,SOUVENIR,,WDD7936,37.0,5.0,27.0,7.0,2.0,37.0,A,Morro Bay SMRMA,SMRMA
338400762,2025-02-10 17:22:53,-117.89404,33.61985,0.0,351.7,,WILD HARE,,XXXXXXX,37.0,,12.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
338468255,2025-02-10 17:21:19,-119.5575,34.07318,8.8,256.9,,CIELO,,,37.0,,13.0,4.0,,,B,Scorpion SMR,SMR
338174439,2025-02-10 17:20:54,-117.89515,33.61941,0.0,348.5,,ANN-ELYSE,,,37.0,,10.0,7.0,,,B,Upper Newport Bay SMCA,SMCA
338143454,2025-02-10 17:23:09,-120.85694,35.36986,0.0,,,SWELL DISH,,,36.0,,12.0,3.0,,,B,Morro Bay SMRMA,SMRMA
368320160,2025-02-10 17:22:42,-120.85718,35.37004,0.0,348.5,,SOUVENIR,,WDD7936,37.0,5.0,27.0,7.0,2.0,37.0,A,Morro Bay SMRMA,SMRMA
368173330,2025-02-10 17:23:35,-118.50504,33.43163,0.1,109.8,,CATBIRD,,WDL8831,36.0,,11.0,2.0,,,B,Cat Harbor SMCA,SMCA
338468255,2025-02-10 17:25:19,-119.56888,34.07028,8.9,254.3,,CIELO,,,37.0,,13.0,4.0,,,B,Scorpion SMR,SMR
338392591,2025-02-10 17:18:24,-117.89707,33.62131,0.0,38.9,,SAY ANYTHING,,,37.0,,10.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
338142675,2025-02-10 17:25:07,-117.89562,33.62233,0.0,358.9,,NUEVO,,,37.0,,20.0,6.0,,,B,Upper Newport Bay SMCA,SMCA
367767350,2025-02-10 17:25:35,-117.29784,32.80456,6.5,347.7,,TROPIC THUNDER,,WDJ3367,36.0,,14.0,4.0,,,B,South La Jolla SMR,SMR
368167990,2025-02-10 17:25:38,-117.89483,33.62189,0.0,155.9,,IT'S ALL GOOD,,WDL8279,37.0,,14.0,5.0,,,B,Upper Newport Bay SMCA,SMCA
367027990,2025-02-10 17:25:18,-120.85415,35.36649,0.0,0.0,,ANGLER,,WDC4643,60.0,,12.0,4.0,,,B,Morro Bay SMRMA,SMRMA
338400762,2025-02-10 17:25:51,-117.89404,33.61986,0.0,351.7,,WILD HARE,,XXXXXXX,37.0,,12.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
338400762,2025-02-10 17:19:52,-117.89404,33.61985,0.0,351.7,,WILD HARE,,XXXXXXX,37.0,,12.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
211503810,2025-02-10 17:27:04,-120.85644,35.36816,0.0,,,RANTJE,,DD5612,36.0,,13.0,4.0,,,B,Morro Bay SMRMA,SMRMA
368173330,2025-02-10 17:26:35,-118.50504,33.43162,0.1,205.2,,CATBIRD,,WDL8831,36.0,,11.0,2.0,,,B,Cat Harbor SMCA,SMCA
368167990,2025-02-10 17:28:38,-117.89483,33.62188,0.0,172.3,,IT'S ALL GOOD,,WDL8279,37.0,,14.0,5.0,,,B,Upper Newport Bay SMCA,SMCA
368320160,2025-02-10 17:25:41,-120.85715,35.37009,0.0,8.1,,SOUVENIR,,WDD7936,37.0,5.0,27.0,7.0,2.0,37.0,A,Morro Bay SMRMA,SMRMA
338468255,2025-02-10 17:27:19,-119.57394,34.06771,9.0,232.6,,CIELO,,,37.0,,13.0,4.0,,,B,Scorpion SMR,SMR
338468255,2025-02-10 17:28:49,-119.57726,34.06527,9.2,220.6,,CIELO,,,37.0,,13.0,4.0,,,B,Scorpion SMR,SMR
367767350,2025-02-10 17:29:03,-117.29914,32.81152,7.9,350.9,,TROPIC THUNDER,,WDJ3367,36.0,,14.0,4.0,,,B,South La Jolla SMR,SMR
