# 24-hour MPA fishing-entry forecast for 2024-06-03. 1729 vessels were evaluated near California MPAs. The highest-risk vessel is MMSI 338467817 (UNNAMED), 0.9 km from Año Nuevo SMR with a risk score of 1.00, driven by: traffic_within_10km; dist_to_mpa_m; day_of_week.
mmsi,vessel_name,risk,nearest_mpa,dist_to_mpa_m,sog,cog,heads_toward_mpa,prior_mpa_entries,prior_fishing_tracks,factors,base_date_time,latitude,longitude
338228058,WOMAN IN THE WAVES,0.071,Swami's SMCA,2585.173,7.9,347.3,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 18:00:39,32.98,-117.353
367393250,APPLE,0.07,Arrow Point to Lion Head Point SMCA,113.199,0.3,124.0,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; sog,2024-06-03 01:23:29,33.467,-118.526
367612650,ENDURANCE,0.045,Anacapa Island FMR,19706.439,0.0,54.2,False,0.0,0.0,dist_to_mpa_m; day_of_week; cog,2024-06-03 18:02:57,34.243,-119.264
477770700,COSCO MALAYSIA,0.04,Bolsa Bay SMCA,14905.56,0.1,209.2,False,0.0,0.0,dist_to_mpa_m; heading; day_of_week,2024-06-03 00:00:10,33.753,-118.214
368051830,LANI KAI,0.039,Upper Newport Bay SMCA,1106.319,0.1,296.4,False,0.0,0.0,tide_height_m; heading; day_of_week,2024-06-03 16:03:17,33.607,-117.908
367515670,BLACK HAWK,0.038,Big Creek SMR,13008.442,6.7,318.0,False,0.0,0.0,traffic_within_10km; tide_height_m; day_of_week,2024-06-03 06:01:09,36.007,-121.801
368155570,PARLAY,0.035,Upper Newport Bay SMCA,591.009,0.0,270.7,False,0.0,0.0,cog; wind_dir_deg; day_of_week,2024-06-03 12:01:09,33.61,-117.896
367380450,JOY,0.03,Anacapa Island FMR,19791.948,0.0,71.9,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 18:01:39,34.244,-119.263
367305920,SANDRA HUGH,0.03,Robert W. Crown SMCA,6805.255,0.1,176.9,False,0.0,0.0,heading; tide_height_m; day_of_week,2024-06-03 18:00:07,37.804,-122.342
338303696,DARK SIDE,0.026,Crystal Cove SMCA,1321.38,0.0,228.4,False,0.0,0.0,wind_dir_deg; cog; dist_to_mpa_m,2024-06-03 12:05:32,33.601,-117.889
367016050,MAKO,0.024,Anacapa Island FMR,19603.102,3.3,44.6,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 00:39:34,34.242,-119.264
368032550,IBIZA,0.023,Bolsa Bay SMCA,15275.939,0.0,360.0,False,0.0,0.0,dist_to_mpa_m; traffic_within_10km; day_of_week,2024-06-03 00:00:02,33.773,-118.209
338236389,FREJA,0.02,Anacapa Island FMR,19151.698,7.1,311.6,False,0.0,0.0,dist_to_mpa_m; sog; day_of_week,2024-06-03 00:00:27,34.09,-119.149
367698890,LBFD FB20,0.018,Bolsa Bay SMCA,15245.919,0.1,348.5,False,0.0,0.0,dist_to_mpa_m; sog; day_of_week,2024-06-03 06:01:34,33.77,-118.21
338434596,JOURNEY,0.017,Lover's Cove SMCA,337.047,0.2,360.0,False,0.0,0.0,day_of_week; traffic_within_10km; sog,2024-06-03 06:01:49,33.345,-118.326
367001740,CATALINA FLYER,0.016,Upper Newport Bay SMCA,1415.506,0.0,224.5,False,1.0,0.0,wind_dir_deg; cog; dist_to_mpa_m,2024-06-03 14:26:08,33.603,-117.899
368252690,DOS AMIGOS,0.016,Anacapa Island FMR,19779.706,0.1,360.0,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 18:01:40,34.243,-119.262
367328780,DELTA LINDA,0.013,Peytonia Slough SMP,19242.483,1.3,295.1,False,0.0,0.0,dist_to_mpa_m; sog; day_of_week,2024-06-03 06:00:03,38.047,-122.101
368291650,THE DOG HOUSE,0.011,Lover's Cove SMCA,163.81,0.1,360.0,False,0.0,0.0,dist_to_mpa_m; day_of_week; heading,2024-06-03 06:02:35,33.346,-118.323
338602000,BALTIMORE,0.011,Abalone Cove SMCA,15026.588,0.1,218.0,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 00:00:10,33.773,-118.218
366813530,ISLANDER,0.01,Anacapa Island FMR,19813.805,0.0,182.5,True,1.0,0.0,dist_to_mpa_m; day_of_week; wind_dir_deg,2024-06-03 12:00:01,34.245,-119.264
366899260,ISLAND ADVENTURE,0.01,Anacapa Island FMR,19802.098,0.0,184.2,True,4.0,0.0,dist_to_mpa_m; day_of_week; wind_dir_deg,2024-06-03 12:00:10,34.245,-119.265
367678730,RISING STAR,0.01,Anacapa Island FMR,19633.469,0.0,106.8,False,0.0,0.0,dist_to_mpa_m; day_of_week; tide_height_m,2024-06-03 00:01:05,34.243,-119.264
338118971,BAYWATCH 17,0.01,Point Vicente SMCA (No-Take),11212.957,0.1,342.5,False,0.0,0.0,tide_height_m; wind_dir_deg; day_of_week,2024-06-03 13:58:34,33.847,-118.399
367101530,CARIBE ALLIANCE,0.008,Point Vicente SMCA (No-Take),18008.436,0.5,360.0,False,0.0,0.0,dist_to_mpa_m; sog; day_of_week,2024-06-03 06:00:02,33.909,-118.448
338495942,EXTRA INNINGS,0.008,Natural Bridges SMR,11602.877,0.4,340.4,False,0.0,0.0,traffic_within_10km; sog; day_of_week,2024-06-03 18:00:37,36.964,-121.929
367547310,ULTRA PACIFIC,0.006,Anacapa Island FMR,19569.502,0.0,248.0,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 00:01:47,34.242,-119.265
367453620,PRIVATEER,0.006,San Diego-Scripps Coastal SMCA,3415.791,8.9,115.8,True,1.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 18:00:58,32.876,-117.31
338351674,OCTAVIA (US),0.006,Anacapa Island FMR,19795.391,0.0,14.8,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 18:02:43,34.244,-119.262
368264950,VA SANTA MONICA,0.005,Anacapa Island FMR,19147.966,7.6,309.1,False,0.0,0.0,dist_to_mpa_m; day_of_week; tide_height_m,2024-06-03 00:00:00,34.09,-119.149
368264350,PAX SAPIENS,0.004,Portuguese Ledge SMCA,119.952,7.6,356.3,False,0.0,0.0,traffic_within_10km; day_of_week; dist_to_mpa_m,2024-06-03 00:00:32,36.684,-122.003
338373179,SV MERLIN,0.004,Anacapa Island FMR,7295.559,5.2,312.2,False,0.0,0.0,wind_dir_deg; sog; day_of_week,2024-06-03 12:00:00,34.113,-119.286
316034054,RAGTIME,0.004,Point Reyes SMR,514.231,0.3,113.8,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 14:41:45,38.001,-122.977
368196320,RACHAEL ALLEN,0.004,Peytonia Slough SMP,19364.653,0.7,34.2,True,0.0,0.0,dist_to_mpa_m; heading; day_of_week,2024-06-03 06:00:01,38.046,-122.102
368251050,CAPAZ,0.004,Anacapa Island FMR,19951.175,3.6,266.9,False,0.0,0.0,day_of_week; traffic_within_10km; sog,2024-06-03 17:53:12,34.245,-119.262
367503510,MYKONOS,0.004,Anacapa Island FMR,19679.143,6.5,288.9,True,1.0,0.0,dist_to_mpa_m; day_of_week; sog,2024-06-03 18:19:02,34.074,-119.143
368354150,WICKED II,0.003,Upper Newport Bay SMCA,650.13,0.0,217.2,False,0.0,0.0,wind_dir_deg; day_of_week; cog,2024-06-03 12:01:38,33.613,-117.911
366723610,LADY RENEE,0.003,Morro Bay SMRMA,49.647,0.0,159.2,False,1.0,1.0,tide_height_m; day_of_week; wind_dir_deg,2024-06-03 15:35:27,35.369,-120.856
367192940,AVALON EXPRESS,0.003,Blue Cavern Offshore SMCA,214.98,24.1,54.2,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 00:00:01,33.493,-118.448
338364492,NEVER,0.003,Anacapa Island FMR,19696.796,0.0,360.0,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 00:12:51,34.242,-119.262
319127100,FRONT ROW,0.003,Upper Newport Bay SMCA,583.726,0.0,259.3,False,0.0,0.0,wind_dir_deg; day_of_week; cog,2024-06-03 12:01:08,33.612,-117.904
367509430,FISHY BIZ,0.003,Montara SMR,1385.516,0.0,237.9,True,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 12:02:38,37.502,-122.483
367033480,CRYSTAL SEA,0.003,Anacapa Island FMR,19493.045,0.0,360.0,False,0.0,0.0,dist_to_mpa_m; day_of_week; tide_height_m,2024-06-03 00:00:37,34.24,-119.262
338327349,REEL INN,0.003,Anacapa Island FMR,19463.386,0.0,360.0,False,0.0,0.0,dist_to_mpa_m; day_of_week; tide_height_m,2024-06-03 00:01:52,34.24,-119.263
338339611,VAL AIR,0.003,Dana Point SMCA,987.4,0.0,360.0,False,0.0,0.0,wind_dir_deg; dist_to_mpa_m; day_of_week,2024-06-03 06:03:38,33.46,-117.694
477219900,COSCO NETHERLANDS,0.002,Abalone Cove SMCA,15036.07,0.0,312.4,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 00:02:31,33.757,-118.214
366711270,SEA VENTURE,0.002,Montara SMR,1528.206,0.0,21.6,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 12:01:23,37.501,-122.481
367783640,SYCAMORE,0.002,Upper Newport Bay SMCA,1771.322,0.1,252.4,False,0.0,0.0,cog; traffic_within_10km; day_of_week,2024-06-03 15:09:18,33.609,-117.922
316010633,SOLSKIN,0.002,Montara SMR,1250.365,0.0,360.0,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 12:03:02,37.501,-122.484
338473996,MEZZO MEZZO II,0.002,Montara SMR,1256.402,0.0,360.0,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 12:00:07,37.502,-122.484
477845600,COSCO ITALY,0.002,Abalone Cove SMCA,15096.85,0.0,301.3,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 00:02:40,33.761,-118.214
367017448,,0.002,Bolsa Bay SMCA,15444.115,3.3,239.4,False,0.0,0.0,dist_to_mpa_m; day_of_week; heading,2024-06-03 09:18:06,33.771,-118.212
338439534,BALANCE,0.002,Anacapa Island FMR,15382.341,0.7,182.3,False,0.0,0.0,dist_to_mpa_m; day_of_week; sog,2024-06-03 06:01:56,34.173,-119.23
338314802,NAUTI DAWG,0.002,Casino Point SMCA (No-Take),220.226,0.3,360.0,True,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 06:01:47,33.348,-118.327
367017440,PIPER INNESS,0.002,Bolsa Bay SMCA,15441.61,0.1,285.9,False,0.0,0.0,dist_to_mpa_m; traffic_within_10km; day_of_week,2024-06-03 00:00:05,33.771,-118.212
338331771,UNBOUND,0.002,Anacapa Island FMR,19711.105,3.0,350.1,False,0.0,0.0,dist_to_mpa_m; day_of_week; sog,2024-06-03 19:08:00,34.243,-119.263
367531160,HAU TREE,0.002,Upper Newport Bay SMCA,632.59,0.0,217.1,False,0.0,0.0,wind_dir_deg; day_of_week; cog,2024-06-03 12:02:27,33.61,-117.896
367678850,LELA FRANCO,0.002,Point Vicente SMCA (No-Take),17547.06,1.0,296.6,False,0.0,0.0,dist_to_mpa_m; day_of_week; heading,2024-06-03 00:00:02,33.905,-118.453
338171267,QUE SERA SERA,0.001,Montara SMR,1579.449,0.0,313.2,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 12:01:42,37.502,-122.481
367563270,BAILIWICK,0.001,Goleta Slough SMCA (No-Take),12153.694,0.1,340.0,False,0.0,0.0,wind_dir_deg; day_of_week; sog,2024-06-03 06:06:50,34.406,-119.69
368173000,FISHING CREEK,0.001,Peytonia Slough SMP,18781.398,0.0,52.0,False,0.0,0.0,dist_to_mpa_m; cog; day_of_week,2024-06-03 00:01:03,38.049,-122.091
368133450,DARELL HIATT,0.001,Abalone Cove SMCA,10566.063,0.0,335.1,False,0.0,0.0,heading; tide_height_m; day_of_week,2024-06-03 00:00:07,33.731,-118.261
235093067,JABBERWOCKY,0.001,Crystal Cove SMCA,918.884,0.1,222.9,False,0.0,0.0,cog; wind_dir_deg; day_of_week,2024-06-03 12:03:48,33.601,-117.881
368347240,SV BLISS,0.001,Casino Point SMCA (No-Take),130.254,0.1,360.0,False,0.0,0.0,tide_height_m; day_of_week; dist_to_mpa_m,2024-06-03 13:59:01,33.348,-118.326
338304801,VENTURA H. PTRL19,0.001,Anacapa Island FMR,19972.487,4.5,217.9,True,1.0,0.0,tide_height_m; day_of_week; wind_dir_deg,2024-06-03 15:45:53,34.248,-119.27
368173330,CATBIRD,0.001,Cat Harbor SMCA,88.692,0.0,360.0,False,1.0,0.0,tide_height_m; traffic_within_10km; day_of_week,2024-06-03 14:06:34,33.432,-118.504
347016450,DO NOTHIN',0.001,Lover's Cove SMCA,210.664,0.1,250.0,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 06:07:32,33.346,-118.324
366849310,DANA PRIDE,0.001,Dana Point SMCA,1195.115,0.0,360.0,False,1.0,0.0,tide_height_m; dist_to_mpa_m; day_of_week,2024-06-03 15:48:47,33.46,-117.692
338178147,TARTINI TIME,0.001,Goleta Slough SMCA (No-Take),12173.318,0.0,49.5,False,0.0,0.0,wind_dir_deg; cog; day_of_week,2024-06-03 06:02:01,34.407,-119.69
338432757,GREY DAWN,0.001,Blue Cavern Onshore SMCA (No-Take),814.466,0.1,360.0,False,1.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 12:08:17,33.445,-118.497
367153070,MIKIONA,0.001,Abalone Cove SMCA,14932.589,0.0,236.1,True,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 00:00:01,33.767,-118.217
367533910,RYLACADE,0.001,Point Vicente SMCA (No-Take),16161.819,7.3,348.1,False,0.0,0.0,dist_to_mpa_m; sog; day_of_week,2024-06-03 00:00:16,33.892,-118.456
367431840,AD ASTRA,0.001,Montara SMR,1589.776,0.0,360.0,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 12:01:14,37.502,-122.481
352002915,EVA BRIGHT,0.001,Fagan Marsh SMP,18191.903,0.0,8.1,True,0.0,0.0,dist_to_mpa_m; day_of_week; tide_height_m,2024-06-03 18:01:57,38.058,-122.217
338899000,COMMITMENT,0.001,Peytonia Slough SMP,19402.358,0.8,41.5,True,0.0,0.0,dist_to_mpa_m; day_of_week; heading,2024-06-03 06:00:08,38.046,-122.102
338429333,LAFD FB23,0.001,Abalone Cove SMCA,9167.021,1.5,278.4,True,0.0,0.0,tide_height_m; sog; day_of_week,2024-06-03 16:00:06,33.717,-118.276
431312000,COURAGEOUS ACE,0.001,Bolsa Bay SMCA,12455.665,0.0,52.3,False,0.0,0.0,cog; heading; wind_dir_deg,2024-06-03 12:02:48,33.712,-118.196
367316910,BLACKBIRD,0.001,Anacapa Island FMR,16101.11,6.0,328.9,False,0.0,0.0,sog; dist_to_mpa_m; day_of_week,2024-06-03 00:00:44,34.182,-119.229
338145223,KELPFISH,0.001,Goleta Slough SMCA (No-Take),503.683,14.9,10.2,True,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 14:30:50,34.412,-119.842
